ReplyId,Incident_id,ReplyMessage,ReplyDate
1,7,ทาง Admin เทคนิคการแพทย์ ได้ปิดตัว RDP ไปแล้ว และเช็ค StealtWatch ไม่เจอการติดต่อออกไปแล้วครับ จะติดตามไปอีกสองสามวันว่ายังมีอยู้รึเปล่าครับ,30/8/2022 15:54
2,7,รับทราบครับผม รอผลการแก้ไขต่อไปครับ,30/8/2022 16:06
3,7,ไม่พบการติดต่อออกไปยังปลายทางที่เป็นอันตราย,5/9/2022 9:35
4,9,เป็นการสือสารจากเว็บไซต์ไปยัง Private cloud ปกติ,8/9/2022 10:05
5,10,ติดต่อผู้ดูแล ของคณะทันตแพทยศาสตร์ ตรวจสอบและแก้ดำเนินการแก้ไข้,8/9/2022 13:46
6,10,พี่สมศักดิ์ แอดมินคณะ ทำการปิดเครื่องดังกล่าวและรอดำเนินการแก้ไขครับ,9/9/2022 10:06
7,11,ทีมงาน CS / SOC ขออนุญาตเพิ่ม policy บน Firewall/IPS จำนวน 1 ข้อ ชื่อ IP_Blacklist_by_SOC เพื่อเอาไว้ block  ip ข้างนอกที่มีพฤติกรรมไม่ดีมีเจตนาโจมตีเข้ามาภายใน network ของเรา ซึ่งในอนาคตต่อไปถ้าพบอีกก็จะแจ้งให้ทราบและขออนุญาตใส่ข้อมูลเพิ่มเติมใน policy ข้อนี้เพียงข้อเดียวโดยจะไม่มีผลกระทบกับส่วนอื่น,14/9/2022 10:12
8,11,ทีมงาน CS / SOC ขออนุญาตเพิ่ม policy บน Firewall/IPS จำนวน 1 ข้อ ชื่อ IP_Blacklist_by_SOC เพื่อเอาไว้ block  ip ข้างนอกที่มีพฤติกรรมไม่ดีมีเจตนาโจมตีเข้ามาภายใน network ของเรา ซึ่งในอนาคตต่อไปถ้าพบอีกก็จะแจ้งให้ทราบและขออนุญาตใส่ข้อมูลเพิ่มเติมใน policy ข้อนี้เพียงข้อเดียวโดยจะไม่มีผลกระทบกับส่วนอื่น,14/9/2022 10:12
9,10,แอดมิน คณะทันตะ ได้ทำการลบ Teamviewer แนะนำให้ใช้ Anydesk และเปิดใช้งานเมือต้องใช้เท่านั้น ตรวจสอบไม่พบ log ดังกล่าวแล้ว,14/9/2022 11:11
10,8,พี่โอ๋เคยแจ้งกับ แอดมินคณะวิทยาศาสตร์ไปแล้ว แต่เหมือจจะไม่ได้รับการแก้ไข,14/9/2022 11:43
11,15,ทำการประสานงานกับผู้พัฒนาเว็บไซต์และมีการแก้ไข Code ให้ปลอดภัยจากการโจมตีแล้ว,19/9/2022 14:51
12,17,ติดต่อแจ้งข้อมูลแก่แอดมินคณะวิทยาศาสตร์แล้ว และขอดำเนินการ Block Destination IP : 35.205.61.67 เนื่องจากมีการติดต่อออกไปหลาย IP จากภายใน,20/9/2022 11:02
13,19,ให้รอการหารือทีมงานถึงแนวทางปฏิบัติก่อนดำเนินการใดๆ,22/9/2022 9:18
14,20,ส่งข้อมูลให้ทางแอดมิน DIR ตรวจสอบและดำเนินการแก้ไข,22/9/2022 16:46
15,22,แจ้งข้อมูลให้แก่ User พร้อมวิธีการแก้ไข และป้องกัน เรียบร้อยแล้ว,23/9/2022 14:26
16,19,ทางแอดมิน บัณฑิตวิทยาลัย ได้รับรู้รับทราบ และดำเนินการแก้ไขเบื้องต้นในการปิด Path นั้น และลบไฟล์ที่นำมาฝั่งไว้ อีกทั้งจะดำเนินการแก้ไขและอัพเดทระบบ,23/9/2022 14:52
17,22,NULL,26/9/2022 16:14
18,20,แอดมินตรวจสอบแล้วแจ้งกลับมาว่าเป็นการใช้งาน Pull Code ปกติ,26/9/2022 16:18
19,25,ถ้าตรวจสอบพบว่า source IP เป็นไอพีไม่ดีให้ทำการใส่ blacklist ใน Firewall ครับผม,27/9/2022 7:47
20,25,ได้ดำเนินการใส่ IP ไว้ใน Source Blacklist Firewall เรียบร้อยแล้ว,27/9/2022 10:00
21,27,พิจารณาการ block ไอพีดังกล่าว,3/10/2022 14:31
22,27,ดำเนินการ Block IP ดังกล่าวเรียบร้อย,3/10/2022 16:00
23,28,พิจารณาช่วยแนะนำแนวทางแก้ไขสาเหตุของปัญหาดังกล่าวและทำการ Block Source IP ที่มีปัญหาดังกล่าว,11/10/2022 11:27
24,29,ให้ดำเนินการ Block IP ต้องสงสัยดังกล่าวครับผม,11/10/2022 13:16
25,29,ดำเนินการ block source เรียบร้อย,11/10/2022 13:24
26,28,ดำเนินการ block source เรียบร้อย,11/10/2022 13:24
27,30,ให้ทำการ block source IP ได้เลยครับ,11/10/2022 14:01
28,30,ดำเนินการ block source เรียบร้อย,11/10/2022 14:03
29,28,ได้ดำเนินการ Restore ให้เจ้าหน้าที่ผู้เกี่ยวข้องเป็นที่เรียบร้อย ต่อไปควรหาสาเหตุและหาแนวทางแก้ไข ป้องกันต่อไป,12/10/2022 8:01
30,31,พิจารณาทำการ Block Source IP ดังกล่าวเพื่อเป็นการป้องกันการลุกลามไปยัง Server อื่น,12/10/2022 8:24
31,32,รบกวนน้องแบงค์ประสานงานกับ User เพื่อให้ทำการแก้ไข เช่น การติดตั้ง Antivirus,12/10/2022 11:22
32,31,ไอพีดังกล่าวอยู่ใน Blacklist แล้ว,12/10/2022 13:54
33,32,แจ้ง user เรียบร้อยครับ,17/10/2022 9:50
34,35,ขออนุญาติดำเนินการ Block Source ครับ,17/10/2022 14:25
35,35,พิจารณา block source IP ดังกล่าว,17/10/2022 14:28
36,35,ดำเนินการ Block Source ดังกล่าวเรียบร้อย,17/10/2022 14:33
37,37,พิจารณา Block Source IP ดังกล่าว,18/10/2022 8:08
38,36,พิจารณา Block Destination IP ดังกล่าว,18/10/2022 8:09
39,37,ดำเนินการ Block Source เรียบร้อย,18/10/2022 10:39
40,36,ดำเนินการ Block Destination เรียบร้อย,18/10/2022 10:39
41,39,พิจารณาจัดการ Block Source IP ได้เลยครับ,19/10/2022 11:02
42,38,พิจารณา Block Source IP ดังกล่าวได้เลยครับ,19/10/2022 11:02
43,39,ดำเนินการ Block Source เรียบร้อย,19/10/2022 11:04
44,38,ดำเนินการ Block Source เรียบร้อย,19/10/2022 11:05
45,42,พิจารณา Block Source IP ดังกล่าวได้เลยครับผม,20/10/2022 10:54
46,41,พิจารณา Block Source IP ดังกล่าวได้เลยครับผม,20/10/2022 10:55
47,42,ฺBlock Source เรียบร้อยครับ,20/10/2022 11:04
48,41,ฺBlock Source เรียบร้อยครับ,20/10/2022 11:04
49,43,พิจารณาดำเนินการ Block Source IP ดังกล่าวครับ,20/10/2022 13:48
50,43,พิจารณาดำเนินการ Block Source IP ดังกล่าวครับ,20/10/2022 13:48
51,43,ดำเนินการ Block Source เรียบร้อย,20/10/2022 14:26
52,44,พิจารณาดำเนินการ Block Source IP ดังกล่าว,20/10/2022 15:33
53,44,ดำเนินการ Block Source เรียบร้อย,20/10/2022 15:45
54,45,พิจารณา Block Source IP ดังกล่าว,21/10/2022 10:26
55,45,ดำเนินการ Block Source เรียบร้อย,21/10/2022 10:31
56,46,ดำเนินการ Block Source IP ดังกล่าวครับ,21/10/2022 11:56
57,46,ดำเนินการ block Source เรียบร้อย,21/10/2022 11:58
58,47,รบกวนประสานงานเจ้าหน้าที่เกี่ยวข้องเพื่อขอข้อมูลครับผม,21/10/2022 11:59
59,48,ช่วยประสานหาข้อมูลประกอบเพิ่มเติมและแนวทางแก้ไขต่อไป,28/10/2022 15:12
60,47,ผู้ดูแลติดต่อและประสานงานการแก้ไขไปยัง Dev ของคณะ และดำเนินการแก้ไขการ login ภายในระบบเรียบร้อย,28/10/2022 15:28
61,48,ผู้ดูแลติดต่อและประสานงานไปยัง Dev ของคณะและทำการแก้ไขการ login ดังกล่าวแล้ว และตรวจสอบไม่พบ Threat ดั่งกล่าว,28/10/2022 15:30
62,52,พิจารณา Block Destination IP ดังกล่าว,28/10/2022 16:03
63,51,ปกติแล้ว Bittorent ได้รับการควบคุม B/W ไว้แล้ว,28/10/2022 16:03
64,50,พิจารณา Block Destination IP ดังกล่าว,28/10/2022 16:04
65,49,พิจารณา Block Destination IP ดังกล่าว,28/10/2022 16:04
66,49,ดำเนินการ Block Destination เรียบร้อย,28/10/2022 16:38
67,50,ผู้ดูแลระบบทำการตรวจสอบและพบว่ามาจากเครื่อง DVR และทำการแก้ไขเรียบร้อยแล้ว,28/10/2022 16:40
68,51,เบื้องต้นติดต่อ user เพื่อให้รับทราบและดำเนินการแก้ไขแล้วครับ,28/10/2022 16:43
69,52,ผู้ดูแลระบบติดต่อ user และดำเนินการแก้ไขเรียบร้อย และตรวจสอบไม่พบ log ดั่งกล่าว,28/10/2022 16:44
70,53,ฝากประสานกับ RSOC เพื่อหาสาเหตุและวิธีแก้ไข,31/10/2022 10:09
71,53,ข้อมูลจากผู้ดูแล RSOC พบว่าเป็นเครื่อง VM ที่เป็นเว็บไซต์เก่าและได้ทำการปิด VM ดังกล่าวเรียบร้อย,31/10/2022 11:02
72,55,พิจารณา Block Source IP ดังกล่าว,31/10/2022 11:12
73,55,ดำเนินการ Block Source เรียบร้อยแล้ว,31/10/2022 11:18
74,56,พิจารณา Block Source IP ดังกล่าว,31/10/2022 11:18
75,55,ดำเนินการ Block Destination ดังกล่าวแล้ว,31/10/2022 11:18
76,56,ดำเนินการ Block Source เรียบร้อย,31/10/2022 11:20
77,54,ได้ดำเนินการ ส่ง log status ให้กับ คุณ วรากร คิดคำนวน  เพื่อให้ดำเนินการ ตรวจเช็ค Server MIS-FILE  file pdf ที่ติด Malware  ส่วน ขบวนการทำงาน URL.Spam.Heur.4 มัน ถูก Quarantined แล้ว และ Block Traffice ไป web ที่มีปัญหา  ไม่ให้ทำ งาน และไม่สามารถแพร่เชื้อไปยัง เครื่อง Server เราได้อีก ,31/10/2022 12:07
78,57,พิจารณา Block Destination IP ดังกล่าว,1/11/2022 11:09
79,57,Block Destination เรียบร้อย และรอข้อมูลจากผู้ดูแลว่ามาจากแหล่งใดและแก้ไข,1/11/2022 14:04
80,58,พิจารณา Block Source IP ดังกล่าว,1/11/2022 15:58
81,57,ผู้ดูแลระบบแก้ไขเรียบร้อย,1/11/2022 16:32
82,58,ดำเนินการ Block Source เรียบร้อย,1/11/2022 16:34
83,62,พิจารณา Block Destination ดังกล่าว,3/11/2022 9:57
84,61,ให้ Block Source IP ดังกล่าว,3/11/2022 9:58
85,60,ให้ Block Destination ดังกล่าว,3/11/2022 9:58
86,59,ให้ Block Source IP ดังกล่าว,3/11/2022 9:59
87,63,ให้ Block Source IP ดังกล่าว,3/11/2022 11:42
88,61,ดำเนินการ Block Source เรียบร้อย,3/11/2022 11:44
89,59,ดำเนินการ Block Source เรียบร้อย,3/11/2022 11:47
90,60,ดำเนินการ Block Destination เรียบร้อย,3/11/2022 11:49
91,63,ดำเนินการ Block Source เรียบร้อย,3/11/2022 11:51
92,62,ตรวจสอบแล้วพบว่าเป็น service ของกล้อง CCTV ที่ใช้ในการเชื่อมต่อเข้าดูกล้อง ขอยกเลิกการ Block Destination,3/11/2022 13:27
93,64,ดำเนินการเพิ่ม vulnerability protection profile ID : 93212 เรียบร้อยแล้ว,4/11/2022 16:18
94,66,ให้ Block Source IP ดังกล่าว,7/11/2022 11:14
95,65,ช่วยหาแนวทางแก้ไขให้หน่อยครับผม,7/11/2022 11:15
96,65,ได้ดำเนินการแจ้งเตือน คุณ สุชนรักษ์ ชาตานันท์ ผู้ดูแลงานไอที คณะเกษตรศาสตร์ เพื่อให้ดำเนินการแก้ไขปัญหาแล้ว โดย คุณ สุชนรักษ์ ได้ตอบกลับจะดำเนินการแก้ไขแล้ว,7/11/2022 11:17
97,65,เบื้องต้น ระบบ Network  Attack Protection Endpoint Security Antivirus ESET Firewall Block traffic Attack  ไว้แล้ว และได้แนะนำให้ ี  user  Update AppServ-MySQL  ทีมีช่องโหว่แล้วครับผม,7/11/2022 11:24
98,66,ดำเนินการ Block Source เรียบร้อย,7/11/2022 11:29
99,67,ให้ Block Source IP ดังกล่าว,7/11/2022 11:36
100,67,ดำเนินการ Block Source เรียบร้อย,7/11/2022 11:37
101,70,รบกวนประสานงานแก้ไขให้ด้วยครับผม,8/11/2022 14:12
102,69,ให้ Block Source IP ดังกล่าว,8/11/2022 14:12
103,70,ได้ดำเนินการแจ้งเจ้าหน้าที่ ไอที คณะเกษตรศาสตร์ และส่ง log ให้และแนะนำการแก้ไขปัญหาเบื้องต้นแล้ว เจ้าหน้าที่ไอทีผู้เกียวข้องรับทราบจะดำเนินการแก้ไขต่อไปครับ ,8/11/2022 15:16
104,69,ดำเนินการ Block Source เรียบร้อย,8/11/2022 15:37
105,71,ให้ Block Source IP ดังกล่าว,10/11/2022 9:54
106,71,ดำเนินการ Block Source เรียบร้อย,10/11/2022 9:55
107,72,ให้ Block Source IP ดังกล่าว,10/11/2022 10:30
108,74,ให้ Block Sourc IP ดังกล่าว,11/11/2022 11:22
109,72,ดำเนินการ Block Source เรียบร้อย,11/11/2022 13:16
110,74,ดำเนินการ Block  Source เรียบร้อย,11/11/2022 13:21
111,75,ให้ Block Source IP ดังกล่าว,11/11/2022 15:14
112,75,ดำเนินการ Block Source เรียบร้อย,11/11/2022 15:17
113,76,ให้ Block Source IP ดังกล่าว,14/11/2022 8:10
114,77,ให้ Block Source IP ดังกล่าว,14/11/2022 9:38
115,76,ดำเนินการ Block source เรียบร้อย,14/11/2022 9:46
116,77,ดำเนินการ Block Source เรียบร้อย,14/11/2022 9:46
117,78,ให้ Block Source IP ดังกล่าว,14/11/2022 11:05
118,78,ดำเนินการ Block Source เรียบร้อย,14/11/2022 11:14
119,79,ให้ Block Source IP ดังกล่าว,14/11/2022 11:57
120,79,ดำเนินการ Block Source เรียบร้อย,14/11/2022 13:26
121,81,ให้ Block Source IP ดังกล่าว,15/11/2022 10:11
122,81,ดำเนินการ Block Source เรียบร้อย,15/11/2022 10:19
123,82,ให้ Block Souce IP ดังกล่าว,15/11/2022 10:19
124,82,ดำเนินการ Block Source เรียบร้อย,15/11/2022 10:20
125,83,ประสานสำนักงานมหาวิทยาลัยในการ Block ดังกล่าว,15/11/2022 10:55
126,83,กำลังส่งข้อมูลเผือประสานงานผลกระทบหาก Block Ip ดังกล่าว,15/11/2022 10:58
127,84,ให้ Block Source IP ดังกล่าว,15/11/2022 10:58
128,84,ดำเนินการ Block source เรียบร้อย,15/11/2022 11:08
129,83,ดำเนินการ Block Source ดั่งกล่าวไว้ก่อน,15/11/2022 11:42
130,85,ให้ Block Souce IP ดังกล่าว,15/11/2022 13:45
131,85,ดำเนินการ Block Source เรียบร้อย,15/11/2022 14:02
132,86,ให้ Block Souce IP ดังกล่าว,15/11/2022 15:43
133,86,ดำเนินการ Blocl source เรียบร้อย,15/11/2022 16:13
134,87,ให้ Block Source IP ดังกล่าว,16/11/2022 9:55
135,87,ดำเนินการ Block Source เรียบร้อย,16/11/2022 9:57
136,88,ให้ Block Source IP ดังกล่าว,16/11/2022 10:24
137,88,ดำเนินการ Block source เรียบร้อย,16/11/2022 10:35
138,89,ให้ Block Souce IP ดังกล่าวและประสานสอบถามแจ้งข้อมูลกับผู้ดูแลระบบดังกล่าว,16/11/2022 14:16
139,89,ดำนินการ Bloxk Source เรียบร้อย และกำลังดำเนินการประสานผู้ดูแล,16/11/2022 14:26
140,89,ดำเนินการส่งข้อมูลให้ผู้ดูแล และผู้ดูแลจะดำเนินการตรวจสอบต่อไปครับ,16/11/2022 16:25
141,83,เบื้องต้นไม่พบผลกระทบที่เกิดจากการ Block source ดังกล่าว,16/11/2022 16:26
142,90,ให้ Block Source IP ดังกล่าว,17/11/2022 15:00
143,90,ดำเนินการ Block source เรียบร้อย,17/11/2022 15:14
144,92,ให้ Block Source IP ดังกล่าว,22/11/2022 10:45
145,91,ให้ Block Source IP ดังกล่าว,22/11/2022 10:45
146,91,ดำเนินการ  Block source เรียบร้อย,22/11/2022 11:16
147,92,ดำเนินการ Block source เรียบร้อย,22/11/2022 11:24
148,93,ให้ Block Source IP ดังกล่าว,23/11/2022 14:23
149,93,ดำเนินการ Block Source เรียบร้อย,24/11/2022 11:12
150,94,ยืนยันให้ Block Source IP ดังกล่าว,24/11/2022 12:48
151,95,ให้ Block Source IP ดังกล่าว,24/11/2022 12:49
152,95,ดำเนินการ Block source เรียบร้อย,24/11/2022 13:43
153,94,ดำเนินการ Block source เรียบร้อย,24/11/2022 13:44
154,96,ประสานงานหา user ต้นเหตุและหาวิธีระงับเหตุ,25/11/2022 9:22
155,97,ให้ Block Source IP ดังกล่าว,25/11/2022 9:35
156,96,เบื้องต้นทำการ Block Destination ไว้ก่อนเรียบร้อย แต่ยังหา User ไม่พบ,25/11/2022 9:41
157,97,ดำเนินการ Block source เรียบร้อย,25/11/2022 9:43
158,98,ให้ Block Source IP ดังกล่าว,25/11/2022 9:51
159,99,ให้ Block Source IP ดังกล่าว,25/11/2022 10:03
160,98,ดำเนินการ Block source เรียบร้อย,25/11/2022 10:03
161,99,ดำเนินการ Block source เรียบร้อย,25/11/2022 10:04
162,102,ให้ Block Source IP ดังกล่าว,28/11/2022 13:09
163,101,ให้ Block Source IP ดังกล่าว,28/11/2022 13:10
164,100,ให้ Block Source IP ดังกล่าว,28/11/2022 13:10
165,101,ดำเนินการ Block source เรียบร้อย,28/11/2022 14:50
166,100,ดำเนินการ Block source เรียบร้อย,28/11/2022 14:50
167,102,ดำเนินการ Block source เรียบร้อย,28/11/2022 14:52
168,103,ให้ประสานสอบถามสาเหตุ สแกนช่องโหว่ และแนวทางแก้ไขปัญหาเพื่อดำเนินการร่างหนังสือตอบกลับ สกมช,29/11/2022 9:16
169,103,ผู้ดูแลได้ทำการแก้ไขแล้ว และกำลังหาสาเหตุว่าเข้ามาช่องทางใดและอย่างไร,29/11/2022 9:19
170,104,รับทราบ,29/11/2022 11:02
171,104,ผู้ดูแลกำลังตรวจสอบแหล่งที่มาและดำเนินการแก้ไข,29/11/2022 11:11
172,103,ผู้ดูแลได้ทำการลบข้อมูลดั่งกล่าวและทำการแก้ไขสิทธิ์การเข้าถึงและการแก้ไขไฟล์ (permission) ซึ่งคาดว่าเป็นช่องทางที่ hacker ใช้,30/11/2022 11:04
173,106,ให้ Block Source IP ดังกล่าว,30/11/2022 14:23
174,105,ประสานและติดตามการแก้ไขปัญหาของ User,30/11/2022 14:24
175,104,เบื้องต้นได้ทำการ เปลี่ยน action ของ dns-malware จาก allow ไปเป็น block เรียบร้อย และดูผลกระทบจากการ block ดังกล่าว,30/11/2022 15:30
176,105,เบื้องต้น ส่งข้อมูลเพื่อให้ผู้ใช้งานลง anti-virus เรียบร้อย,30/11/2022 15:31
177,106,ดำเนินการ block source เรียบร้อย,30/11/2022 15:33
178,108,ให้ Block Source IP ดังกล่าว,1/12/2022 12:23
179,107,ให้ Block Source IP ดังกล่าว,1/12/2022 12:23
180,108,ดำเนินการ Block source เรียบร้อย,1/12/2022 14:06
181,107,ดำเนินการ Block source เรียบร้อย,1/12/2022 14:07
182,109,ให้ดำเนินการ Block Source IP ดังกล่าว,6/12/2022 13:40
183,109,ดำเนินการ Block source เรียบร้อย,6/12/2022 14:22
184,110,ให้ Block Source IP ดังกล่าว,7/12/2022 10:47
185,111,รับทราบ,7/12/2022 11:22
186,110,ดำเนินการ Block source เรียบร้อย,7/12/2022 11:57
187,111,ดำเนินการแจ้ง User เรียบร้อยและรอการตอบกลับจาก User,7/12/2022 11:58
188,112,ให้ ฺBlock Source IP ดังกล่าว,8/12/2022 7:55
189,112,ดำเนินการ  Block source เรียบร้อย,8/12/2022 9:28
190,115,ให้ Block Source IP ดังกล่าว,9/12/2022 10:45
191,114,ให้ Block Source IP ดังกล่าว,9/12/2022 10:45
192,113,ให้ Block Source IP ดังกล่าว,9/12/2022 10:45
193,113,ดำเนินการ Block source เรียบร้อย,9/12/2022 15:55
194,114,ดำเนินการ Block source เรียบร้อย,9/12/2022 15:56
195,115,ดำเนินการ Block source เรียบร้อย,9/12/2022 15:56
196,117,ให้ Block Source IP ดังกล่าว,13/12/2022 11:03
197,116,ให้ Block Source IP ดังกล่าว,13/12/2022 11:04
198,117,ดำเนินการ Block source เรียบร้อย,13/12/2022 15:27
199,116,ดำเนินการ Block source เรียบร้อย,13/12/2022 15:28
200,118,ดำเนินการ Block source เรียบร้อย,15/12/2022 10:03
201,121,ให้ Block Source IP ดังกล่าว,15/12/2022 13:56
202,120,ให้ Block Source IP ดังกล่าว,15/12/2022 13:56
203,119,ตรวจสอบหาสาเหตุและแนวทางแก้ไข,15/12/2022 13:57
204,121,Block source เรียบร้อย,15/12/2022 13:59
205,120,Block source เรียบร้อย,15/12/2022 14:01
206,119,เบื้องต้นได้ดำเนินการทดสอบ Block Dest ดั่งกล่าวพบว่าทบการใช้งานของระบบกล้องวงจรปิด แต่ firewall ได้ทำการ Drop ส่วนที่เกิน limit ไว้แล้ว,15/12/2022 14:09
207,119,และแจ้งเจ้าหน้าที่ที่ดูแลกล้องดั่งกล่าวแล้ว,16/12/2022 9:32
208,124,ให้ Block Source IP ดังกล่าว,16/12/2022 11:09
209,124,ให้ Block Source IP ดังกล่าว,16/12/2022 11:09
210,123,รับทราบ,16/12/2022 11:10
211,122,ให้ Block Source IP ดังกล่าว,16/12/2022 11:10
212,124,ดำเนินการ block source เรียบร้อย,16/12/2022 11:12
213,122,ดำเนินการ Block source เรียบร้อย ,16/12/2022 11:13
214,125,ให้ Block Source IP ดังกล่าว,20/12/2022 9:51
215,125,ดำเนินการ Block source เรียบร้อย,20/12/2022 9:56
216,126,ให้ Block Source IP ดังกล่าว,20/12/2022 10:09
217,128,ให้ Block Source IP ดังกล่าว,27/12/2022 11:18
218,127,ให้ Block Source IP ดังกล่าว,27/12/2022 11:18
219,129,ทำหนังสือแจ้งเตือนและให้คำแนะนำในการแก้ไขส่งไปยังคณะฯ,27/12/2022 11:33
220,128,ดำเนินการ Block source เรียบร้อย,27/12/2022 13:57
221,127,ดำเนินการ Block source เรียบร้อย,27/12/2022 13:57
222,126,ดำเนินการ Block source เรียบร้อย,27/12/2022 13:58
223,131,ประสานหาสาเหตุและแนวทางแก้ไข,29/12/2022 10:06
224,130,ให้ Block Source IP ดังกล่าว,29/12/2022 10:08
225,130,ดำเนินการ Block source เรียบร้อย,29/12/2022 10:21
226,132,ประสานหาสาเหตุและแนวทางแก้ไข,29/12/2022 11:16
227,132,ผู้ดูแลได้ผสานไปยังภาควิชาแล้ว,29/12/2022 14:27
228,131,ผู้ดูแลกำลังหาที่มาและสาเหตุ,29/12/2022 14:53
229,133,ให้ Block Source IP ดังกล่าว,3/1/2023 10:22
230,133,ดำเนินการ Block source เรียบร้อย,3/1/2023 11:47
231,135,ให้ Block Source IP ดังกล่าว,3/1/2023 13:33
232,134,ให้ Block Source IP ดังกล่าว,3/1/2023 13:34
233,134,ดำเนินการ Block source เรียบร้อย,3/1/2023 14:22
234,135,ดำเนินการ Block source เรียบร้อย,3/1/2023 14:22
235,138,ให้ Block Source IP ดังกล่าว,3/1/2023 15:16
236,137,ให้ Block Source IP ดังกล่าว,3/1/2023 15:16
237,136,ติดต่อประสานงาน user แจ้งเหตุและวิธีแก้ไขปัญหา,3/1/2023 15:17
238,138,ดำเนินการ Block source เรียบร้อย,3/1/2023 15:23
239,137,ดำเนินการ Block source เรียบร้อย,3/1/2023 15:23
240,136,ดำเนินการแจ้ง user และให้คำแนะนำเรียบร้อย,3/1/2023 15:24
241,139,ให้ Block Source IP ดังกล่าว,4/1/2023 11:28
242,139,ดำเนินการ Block source เรียบร้อย,4/1/2023 13:37
243,143,ให้ Block Source IP ดังกล่าว,5/1/2023 10:00
244,142,ให้ Block Source IP ดังกล่าว,5/1/2023 10:00
245,141,ให้ Block Source IP ดังกล่าว,5/1/2023 10:00
246,141,ดำเนินการ Block source เรียบร้อย,5/1/2023 10:01
247,142,ดำเนินการ Block source เรียบร้อย,5/1/2023 10:01
248,143,ดำเนินการ Block source เรียบร้อย,5/1/2023 10:01
249,144,ให้ Block Source IP ดังกล่าว,5/1/2023 10:06
250,144,ดำเนินการ Block source เรียบร้อย,5/1/2023 10:36
251,145,ให้ Block Source IP ดังกล่าว,6/1/2023 10:11
252,145,ดำเนินการ Block source เรียบร้อย,6/1/2023 11:02
253,146,ให้ Block Source IP ดังกล่าว,6/1/2023 14:36
254,146,ดำเนินการ Block source เรียบร้อย,9/1/2023 10:16
255,149,ให้ Block Source IP ดังกล่าว,9/1/2023 13:27
256,148,ให้ Block Source IP ดังกล่าว,9/1/2023 13:27
257,151,ให้ Block Source IP ดังกล่าว,10/1/2023 9:43
258,151,ดำเนินการ Block source เรียบร้อย,10/1/2023 9:52
259,149,ดำเนินการ Block source เรียบร้อย,10/1/2023 9:52
